,carat,depth,table,x,y,z,predict
238,1.03,61.4,57.0,6.45,6.54,3.99,5175.962
239,0.32,62.7,58.0,4.33,4.35,2.72,589.4298
240,0.4,60.5,59.0,4.73,4.76,2.87,735.211
241,0.3,59.5,60.0,4.39,4.45,2.63,601.3169
242,1.5,62.3,58.0,7.33,7.27,4.55,9105.604
243,1.51,62.1,55.0,7.38,7.33,4.56,10004.924
244,1.51,63.9,59.0,7.18,7.26,4.61,8360.77
245,1.03,65.0,57.0,6.3,6.32,4.1,4278.146
246,0.34,61.3,58.0,4.53,4.51,2.77,655.7552
247,0.91,62.4,61.0,6.13,6.2,3.85,3215.5505
248,0.38,58.8,61.0,4.74,4.71,2.78,710.8814
249,1.24,61.7,59.0,6.85,6.89,4.24,6482.155
250,0.51,62.8,56.0,5.15,5.07,3.21,1315.9077
251,0.38,61.9,59.0,4.61,4.66,2.87,693.225
252,0.31,62.9,56.0,4.34,4.28,2.71,593.2696
253,0.41,62.6,55.0,4.75,4.77,2.98,844.11554
254,1.53,61.1,58.0,7.45,7.41,4.54,9903.484
255,2.0,57.6,63.0,8.2,8.16,4.73,13416.129
256,1.09,61.8,57.0,6.55,6.59,4.06,5498.7153
257,2.08,60.8,61.0,8.24,8.21,5.0,13725.116
258,0.31,60.4,60.0,4.4,4.44,2.67,601.93616
259,1.71,60.7,60.0,7.74,7.71,4.69,11306.871
260,0.5,63.0,56.0,5.08,5.05,3.19,1244.9056
261,1.02,61.3,59.0,6.46,6.53,3.98,4872.8916
262,0.5,60.0,62.0,5.12,5.18,3.09,1129.3693
263,0.83,59.2,60.0,6.17,6.12,3.64,3404.152
264,0.38,61.3,61.0,4.68,4.72,2.88,699.4265
265,0.42,60.8,60.0,4.87,4.84,2.95,773.8941
266,0.43,61.0,58.0,4.83,4.88,2.96,871.38947
267,0.7,61.0,57.0,5.68,5.73,3.48,2316.0034
268,0.24,62.3,56.0,3.97,4.01,2.49,473.98877
269,0.51,62.5,55.0,5.13,5.08,3.19,1362.5573
270,0.79,61.8,60.0,5.92,5.96,3.67,2589.5796
271,0.3,62.4,54.0,4.33,4.36,2.71,619.91174
272,1.05,62.0,55.0,6.5,6.54,4.04,5530.913
273,1.01,61.5,59.0,6.46,6.39,3.95,4607.6797
274,0.43,61.7,55.0,4.85,4.88,3.0,1013.0461
275,0.33,61.9,56.0,4.48,4.44,2.76,649.0031
276,0.31,59.0,57.0,4.48,4.44,2.63,641.1869
277,1.0,63.3,59.0,6.37,6.33,4.02,4203.8076
278,1.5,61.9,59.0,7.26,7.32,4.51,8896.049
279,1.16,62.8,59.0,6.7,6.64,4.19,5594.3057
280,0.8,62.7,58.0,5.91,5.93,3.71,2694.962
281,2.0,61.6,57.0,8.16,8.1,5.01,13661.746
282,1.31,59.5,61.0,7.16,7.19,4.27,7790.7334
283,1.29,60.9,58.0,7.05,7.0,4.28,7520.4995
284,0.31,61.7,54.0,4.33,4.36,2.68,622.91315
285,0.33,62.6,54.0,4.44,4.47,2.79,662.5776
286,0.41,59.8,61.0,4.79,4.84,2.88,745.25116
287,1.09,62.5,58.0,6.61,6.55,4.11,5330.877
288,0.7,61.4,64.0,5.66,5.71,3.49,1864.8275
289,0.31,57.7,55.0,4.51,4.6,2.63,690.76874
290,0.41,63.9,53.0,4.75,4.7,3.02,865.88007
291,1.04,61.5,59.0,6.53,6.47,4.0,4914.079
292,0.55,62.6,57.0,5.21,5.17,3.25,1402.5084
293,0.7,59.8,60.0,5.75,5.83,3.46,2318.2153
294,0.26,61.7,57.0,4.1,4.07,2.52,502.26797
295,0.41,61.4,57.0,4.8,4.78,2.94,813.916
296,1.08,60.4,57.0,6.68,6.63,4.02,5864.923
297,0.3,61.2,58.0,4.34,4.32,2.65,584.8155
298,1.0,63.8,57.0,6.21,6.29,3.99,4124.543
299,0.59,61.2,57.0,5.4,5.42,3.31,1741.3474
300,0.54,61.8,55.0,5.22,5.3,3.24,1592.189
301,0.27,61.6,55.0,4.17,4.21,2.58,555.4928
302,1.0,61.4,61.0,6.32,6.35,3.89,4016.3484
303,1.0,61.1,58.0,6.48,6.44,3.95,4884.8906
304,0.58,61.1,59.0,5.39,5.35,3.28,1589.359
305,0.33,62.0,60.0,4.46,4.41,2.75,608.4865
306,0.4,63.4,58.0,4.64,4.67,2.95,709.7349
307,0.51,61.6,56.0,5.13,5.18,3.18,1399.7899
308,0.7,62.4,61.0,5.75,5.6,3.54,1989.8662
309,1.56,62.3,55.0,7.39,7.35,4.59,10184.319
310,2.01,62.9,59.0,8.03,7.94,5.02,13070.3125
311,0.54,61.8,58.0,5.23,5.28,3.25,1448.4866
312,0.3,61.8,56.0,4.3,4.34,2.67,596.56006
313,0.53,62.1,55.0,5.18,5.23,3.23,1512.4152
314,0.74,61.4,56.0,5.83,5.86,3.59,2695.7441
315,1.04,62.9,57.0,6.39,6.45,4.04,4830.537
316,1.19,62.4,59.0,6.73,6.79,4.22,5977.92
317,1.49,62.6,53.6,7.28,7.31,4.57,9931.652
318,0.3,62.0,55.0,4.3,4.34,2.68,604.4399
319,0.36,61.6,58.0,4.52,4.57,2.8,667.5746
320,0.71,61.6,56.0,5.73,5.75,3.53,2443.5698
321,0.93,61.9,57.0,6.21,6.25,3.86,4083.031
322,2.01,59.0,60.0,8.31,8.26,4.89,13915.196
323,0.35,61.9,56.0,4.53,4.55,2.81,679.6425
324,1.21,63.3,58.0,6.77,6.72,4.27,6039.911
325,0.41,60.9,60.0,4.81,4.82,2.93,751.88934
326,0.71,62.1,58.0,5.64,5.72,3.53,2191.2942
327,1.17,61.4,56.0,6.83,6.76,4.17,6556.9844
328,1.51,61.2,59.0,7.4,7.38,4.52,9451.532
329,0.9,63.5,56.0,6.17,6.07,3.88,3666.252
330,0.7,63.3,61.0,5.6,5.55,3.53,1798.9164
331,1.06,62.6,58.0,6.4,6.51,4.04,4859.349
332,0.7,60.7,62.0,5.72,5.68,3.46,2028.8445
333,1.0,64.4,57.0,6.32,6.28,4.06,4242.017
334,2.03,59.9,57.0,8.14,8.25,4.91,13928.115
335,0.81,62.3,57.0,5.95,5.99,3.72,2970.1003
336,0.7,60.2,57.0,5.78,5.82,3.49,2521.3337
337,0.71,60.6,56.0,5.82,5.77,3.51,2590.3726
338,1.51,62.2,60.0,7.23,7.3,4.52,8572.639
339,0.33,63.0,57.0,4.39,4.37,2.76,612.6089
340,0.31,60.7,61.0,4.37,4.33,2.64,570.0306
341,0.96,61.7,57.0,6.35,6.3,3.9,4458.246
342,0.97,61.6,54.0,6.34,6.28,3.89,4873.7295
343,0.7,61.9,59.0,5.67,5.74,3.53,2169.9802
344,0.3,63.4,54.0,4.32,4.29,2.73,605.1452
345,1.02,62.2,56.0,6.46,6.4,4.0,5022.507
346,1.01,63.4,59.0,6.34,6.28,4.0,4080.398
347,0.32,60.9,57.0,4.41,4.44,2.69,628.2298
348,1.0,67.0,53.0,6.19,6.13,4.13,4142.1377
349,0.91,63.0,58.0,6.07,6.15,3.85,3414.4043
350,0.31,60.8,61.0,4.35,4.33,2.64,566.72723
351,0.59,62.3,56.0,5.4,5.38,3.36,1743.8882
352,0.24,59.6,58.0,4.08,4.11,2.44,497.63785
353,0.79,61.7,59.0,5.93,5.96,3.67,2688.014
354,0.53,62.6,57.0,5.17,5.15,3.23,1349.3473
355,1.21,59.9,58.0,6.94,6.91,4.15,7001.2817
356,0.42,61.8,57.0,4.82,4.79,2.97,831.94696
357,0.62,61.9,56.0,5.46,5.48,3.38,1887.6624
358,1.02,61.8,57.0,6.48,6.41,3.98,4954.5293
359,1.5,63.3,57.0,7.24,7.2,4.57,8827.645
360,0.57,61.8,57.0,5.32,5.3,3.28,1586.5873
361,0.95,62.3,60.0,6.3,6.26,3.91,3812.4229
362,0.43,62.5,55.0,4.83,4.8,3.01,932.00946
363,1.2,62.7,55.0,6.74,6.69,4.21,6397.852
364,0.36,61.7,56.0,4.58,4.56,2.82,691.94916
365,0.82,61.9,56.0,5.98,6.03,3.72,3283.7417
366,1.11,62.8,61.0,6.63,6.56,4.14,4963.299
367,0.72,64.1,64.0,5.66,5.6,3.61,1725.6389
368,0.71,60.7,59.0,5.75,5.81,3.51,2341.9346
369,2.06,64.1,56.0,7.97,8.09,5.15,13492.334
370,1.32,62.7,56.0,7.03,6.97,4.39,7668.8384
371,0.33,60.0,56.0,4.53,4.56,2.72,679.19574
372,0.7,61.4,57.0,5.71,5.74,3.52,2338.8508
373,0.42,59.8,58.0,4.88,4.85,2.91,906.15356
374,0.57,63.1,54.0,5.3,5.28,3.34,1680.43
375,2.06,62.3,56.0,8.16,8.09,5.06,13801.227
376,0.42,61.8,56.0,4.81,4.84,2.98,904.1536
377,0.3,63.6,54.0,4.28,4.33,2.74,604.9371
378,0.3,59.5,58.0,4.42,4.39,2.62,612.3143
379,2.01,62.9,59.0,7.94,8.03,5.02,13068.378
380,1.12,62.6,56.0,6.59,6.63,4.14,5771.924
381,1.5,62.8,57.0,7.3,7.25,4.57,9137.887
382,0.72,63.6,59.0,5.61,5.58,3.56,1952.2909
383,2.08,61.5,57.0,8.26,8.2,5.06,14056.99
384,1.02,61.1,62.0,6.49,6.54,3.98,4522.7
385,1.12,61.0,60.0,6.7,6.64,4.07,5511.5605
386,1.4,62.0,60.0,7.1,7.16,4.42,7712.539
387,1.06,61.9,59.0,6.52,6.5,4.03,4950.6865
388,0.3,60.6,59.0,4.36,4.28,2.62,574.6694
389,0.9,63.6,58.0,6.12,6.08,3.88,3312.4824
390,0.52,62.0,53.0,5.16,5.2,3.21,1571.756
391,0.4,61.8,56.0,4.77,4.74,2.94,802.15485
392,0.92,61.8,59.0,6.11,6.19,3.8,3516.5093
393,0.33,62.4,58.0,4.41,4.37,2.74,608.8616
394,2.02,61.8,58.0,8.16,8.1,4.94,13517.1875
395,1.61,62.4,55.0,7.51,7.48,4.68,10865.104
396,0.23,61.9,60.0,3.95,4.03,2.47,472.97015
397,0.5,59.5,59.0,5.19,5.16,3.08,1317.2703
398,0.59,60.2,56.0,5.46,5.51,3.3,1946.8962
399,1.73,65.9,58.0,7.52,7.45,4.93,10079.738
400,0.88,63.2,56.0,6.04,6.09,3.83,3477.3225
401,1.01,61.8,59.0,6.46,6.42,3.98,4635.834
402,1.33,60.7,59.0,7.08,7.13,4.31,7788.9775
403,2.15,62.8,58.0,8.22,8.17,5.15,13954.254
404,1.58,61.6,56.0,7.53,7.5,4.63,10762.868
405,0.33,59.8,58.0,4.54,4.52,2.71,659.41675
406,1.18,61.5,57.0,6.78,6.82,4.18,6440.584
407,1.04,62.6,55.0,6.49,6.42,4.04,5252.868
408,0.37,59.9,59.0,4.68,4.7,2.81,712.04706
409,1.62,61.8,59.0,7.55,7.52,4.66,10314.75
410,0.72,63.8,58.0,5.68,5.63,3.61,2103.0403
411,0.3,61.9,59.0,4.28,4.31,2.66,564.0707
412,0.71,60.7,54.0,5.84,5.8,3.53,2866.4807
413,0.52,61.8,56.0,5.15,5.18,3.19,1412.2804
414,0.7,63.4,59.0,5.63,5.67,3.58,2030.047
415,1.27,62.2,54.0,6.92,6.95,4.31,7720.711
416,0.3,63.4,56.0,4.29,4.26,2.71,578.8382
417,0.7,62.3,58.0,5.66,5.7,3.54,2175.6016
418,1.08,61.5,58.0,6.57,6.64,4.06,5472.377
419,0.63,63.3,59.0,5.51,5.31,3.45,1646.5305
420,0.47,62.1,55.0,4.98,5.01,3.1,1199.8025
421,0.57,61.0,57.0,5.4,5.35,3.28,1688.4288
422,0.4,62.8,56.0,4.69,4.73,2.96,745.4252
423,1.21,60.0,61.0,6.88,6.79,4.1,6143.6133
424,1.51,62.8,57.0,7.23,7.29,4.56,9095.318
425,0.52,61.2,59.0,5.16,5.14,3.15,1261.7717
426,0.33,62.6,58.0,4.41,4.44,2.77,620.2159
427,0.32,61.5,60.0,4.36,4.39,2.69,587.0235
428,0.51,61.9,56.0,5.11,5.17,3.18,1370.9359
429,0.51,61.4,59.0,5.13,5.13,3.16,1230.7877
430,1.37,62.4,58.0,7.1,7.0,4.4,7644.1147
431,1.0,60.6,61.0,6.44,6.39,3.89,4343.431
432,0.34,61.2,57.0,4.45,4.51,2.74,650.3306
433,0.31,63.5,57.0,4.28,4.26,2.71,570.69525
434,1.22,60.2,58.0,6.92,6.9,4.16,6918.9834
435,0.46,62.3,56.0,4.94,4.98,3.09,1096.1136
436,1.0,65.7,58.0,6.25,6.2,4.09,3741.333
437,0.31,62.7,56.0,4.38,4.33,2.73,608.7869
438,0.3,63.5,55.0,4.27,4.3,2.72,589.9613
439,0.91,61.6,60.0,6.19,6.21,3.82,3536.1138
440,1.25,62.0,57.0,6.92,6.85,4.27,6860.841
441,2.0,61.4,59.0,8.07,8.0,4.93,13233.628
442,0.32,63.2,56.0,4.38,4.35,2.76,613.49384
443,1.0,57.8,58.0,6.55,6.61,3.8,5522.502
